argila;silte;areia;ds;ma;mi;c;elevation;soilslope;aspect;curvature;plancurve;profilecurve;tetas;umidade
15.98;24.85;59.17;1.40;0.0623;0.3795;2.64;48.00;8.60;54.46;-1.9200;-0.6400;1.2800;0;0.4915
10.54;14.09;75.37;1.37;0.1161;0.3382;2.14;53.00;15.56;315.00;1.2800;0.8000;-0.4800;0;0.4105
21.99;32.06;45.95;1.66;0.0800;0.2742;2.38;64.00;5.10;258.69;0.6400;0.0000;-0.6400;0;0.5750
20.52;22.38;57.10;1.61;0.0515;0.3186;2.41;114.00;22.36;26.57;-1.2800;-0.9224;0.3576;0;0.4187
18.99;27.54;53.47;1.51;0.0693;0.3211;2.48;127.00;32.53;45.00;0.0000;-0.1600;-0.1600;0;0.5100
16.60;24.25;59.15;1.37;0.1347;0.3178;2.30;142.00;14.76;61.70;0.6400;0.0492;-0.5908;0;0.4888
17.94;22.06;60.00;1.39;0.1028;0.3054;2.56;183.00;24.70;58.24;0.0000;-0.4424;-0.4424;0;0.4233
15.26;20.64;64.10;1.36;0.2069;0.2602;2.31;169.00;14.42;326.31;0.6400;0.1969;-0.4431;0;0.4788
6.54;18.79;74.67;1.16;0.3092;0.2374;1.91;159.00;13.93;68.96;1.2800;0.5440;-0.7360;0;0.4298
11.98;22.39;65.63;1.67;0.1007;0.2570;1.99;122.00;17.26;10.01;0.6400;0.5271;-0.1129;0;0.3906
22.02;42.28;35.70;1.29;0.0726;0.3894;2.45;90.00;7.21;326.31;0.6400;0.5120;-0.1280;0;0.4552
18.37;17.37;64.27;1.51;0.1167;0.3035;2.20;103.00;19.85;310.91;1.9200;1.0240;-0.8960;0;0.4224
17.21;24.49;58.30;1.31;0.1392;0.3575;2.35;87.00;11.40;217.87;0.0000;0.1600;0.1600;0;0.4773
18.55;24.80;56.65;1.42;0.1302;0.3095;2.46;73.00;20.00;143.13;0.6400;0.7168;0.0768;0;0.5613
17.72;17.61;64.67;1.50;0.1647;0.2513;2.40;98.00;20.40;258.69;1.2800;0.6400;-0.6400;0;0.4543
18.18;19.56;62.27;1.43;0.1389;0.2976;2.59;78.00;11.40;127.87;0.0000;0.1600;0.1600;0;0.4274
26.50;13.00;60.50;1.63;0.1409;0.2497;2.50;98.00;22.36;63.43;0.0000;0.0188;0.0188;0;0.4108
13.56;19.31;67.13;1.35;0.2119;0.2676;2.21;109.00;19.85;40.91;0.6400;0.2560;-0.3840;0;0.5315
18.09;20.71;61.20;1.49;0.0958;0.3084;2.47;142.00;12.65;108.43;-1.2800;-0.6400;0.6400;0;0.4925
14.19;15.91;69.90;1.43;0.2247;0.2195;2.07;137.00;26.91;138.01;-0.6400;-0.2498;0.3902;0;0.4519
10.83;16.67;72.50;1.53;0.3078;0.0818;1.98;159.00;18.87;32.01;0.6400;0.1024;-0.5376;0;0.3237
16.38;14.22;69.40;1.55;0.1769;0.2367;2.29;178.00;16.49;194.04;-0.6400;-0.7529;-0.1129;0;0.4252
16.95;16.95;66.10;1.53;0.1718;0.2535;2.51;172.00;4.00;90.00;-0.6400;0.0000;0.6400;0;0.4080
27.42;11.68;60.90;1.43;0.2228;0.2357;2.61;183.00;6.32;251.57;0.0000;0.0000;0.0000;0;0.5120
19.12;18.21;62.67;1.44;0.2059;0.2387;2.48;160.00;32.28;343.81;0.0000;-0.0753;-0.0753;0;0.5862
24.20;20.23;55.57;1.08;0.2804;0.3022;3.07;136.00;22.36;349.70;-0.6400;-0.6227;0.0173;0;0.5691
6.94;1.49;91.57;1.39;0.3161;0.1587;2.00;96.00;3.16;198.43;-0.6400;0.0000;0.6400;0;0.4086
17.23;18.84;63.93;1.44;0.0609;0.3887;2.30;104.00;13.34;77.01;-1.2800;-0.7360;0.5440;0;0.4440
24.23;29.30;46.47;1.49;0.0234;0.4076;2.72;123.00;12.73;225.00;0.0000;-0.1600;-0.1600;0;0.4366
14.97;14.37;70.67;1.63;0.1432;0.2247;2.22;136.00;4.24;225.00;1.2800;0.8000;-0.4800;0;0.3675
21.11;19.99;58.90;1.35;0.1428;0.3329;2.49;121.00;18.11;186.34;-1.2800;-0.6400;0.6400;0;0.5096
14.09;13.55;72.37;1.28;0.2796;0.2221;2.26;122.00;12.65;251.57;0.0000;0.5120;0.5120;0;0.4632
16.43;14.77;68.80;1.50;0.0956;0.3175;2.08;136.00;13.93;111.04;-1.2800;-0.5440;0.7360;0;0.4095
15.63;28.07;56.30;1.33;0.1736;0.3089;2.71;131.00;12.65;198.43;-1.2800;-0.6400;0.6400;0;0.5273
21.37;24.80;53.83;1.64;0.1244;0.2524;2.31;160.00;33.14;174.81;-0.6400;-0.5908;0.0492;0;0.4625
24.70;28.13;47.17;1.20;0.1164;0.4269;2.51;127.00;17.49;300.96;0.0000;0.1280;0.1280;0;0.4263
9.29;10.31;80.40;1.06;0.2088;0.3633;2.31;110.00;7.21;123.69;-1.2800;-0.6400;0.6400;0;0.6427
16.36;20.27;63.37;1.42;0.2202;0.2290;2.61;134.00;29.12;74.05;-0.6400;0.1208;0.7608;0;0.4638
11.70;15.73;72.57;1.56;0.2396;0.1907;1.96;153.00;27.46;56.89;-1.2800;-0.7385;0.5415;0;0.6032
10.79;17.08;72.13;1.45;0.2454;0.2012;2.06;153.00;26.91;311.99;0.6400;0.8741;0.2341;0;0.4363
12.66;19.80;67.53;1.57;0.0897;0.3066;2.33;127.00;17.49;59.04;0.0000;-0.1280;-0.1280;0;0.4668
17.74;23.49;58.77;1.51;0.1080;0.3196;2.33;143.00;28.64;102.09;-0.6400;-0.0483;0.5917;0;0.4426
